ID,WhoTextScreening,PubID,PubSource,FirstAuthor,Publication Year,Authors,Title,Journal,DOI,DOI Link,Mortality,ctrl_PristineParticle,treat_Ecocorona,KeepForDataExtraction,ReasonForExclusion
1,AR,Amariei2022,WoS-Search and PubMed,Amariei,2022,"Amariei, G; Rosal, R; Fernandez-Pinas, F; Koelmans, AA",Negative food dilution and positive biofilm carrier effects of microplastic ingestion by D. magna cause tipping points at the population level,ENVIRONMENTAL POLLUTION,10.1016/j.envpol.2021.118622,http://dx.doi.org/10.1016/j.envpol.2021.118622,yes,yes,yes,yes,
2,AR,Booth2013,WoS-Search,Booth,2013,"Booth, AM; Justynska, J; Kubowicz, S; Johnsen, H; Frenzel, M","Influence of salinity, dissolved organic carbon and particle chemistry on the aggregation behaviour of methacrylate-based polymeric nanoparticles in aqueous environments",INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,10.1504/IJEP.2013.056358,http://dx.doi.org/10.1504/IJEP.2013.056358,no,yes,yes,no,"formation of ecocorona, not Daphnia"
3,EN,Da Silva2022,WoS-Search,Da Silva,2022,"Da Silva, JVF; Lansac-Toha, FM; Segovia, BT; Amadeo, FE; Braghin, LDM; Velho, LFM; Sarmento, H; Bonecker, CC",Experimental evaluation of microplastic consumption by using a size-fractionation approach in the planktonic communities,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2022.153045,http://dx.doi.org/10.1016/j.scitotenv.2022.153045,,,,no,not Daphnia
4,EN,Ellis2020,Chakraborty2022,Ellis,2020,"Ellis, LJA; Lynch, I",Mechanistic insights into toxicity pathways induced by nanomaterials in Daphnia magna from analysis of the composition of the acquired protein corona,ENVIRONMENTAL SCIENCE-NANO,10.1039/D0EN00625D,https://doi.org/10.1039/D0EN00625D,NA,NA,NA,no,"silver and titanium particles, not MNP"
5,FB,Fadare2019,WoS-Search,Fadare,2019,"Fadare, OO; Wan, B; Guo, LH; Xin, Y; Qin, WP; Yang, Y",Humic acid alleviates the toxicity of polystyrene nanoplastic particles to Daphnia magna,ENVIRONMENTAL SCIENCE-NANO,10.1039/c8en01457d,http://dx.doi.org/10.1039/c8en01457d,yes,yes,yes,yes,
6,SW,Grintzalis2019,LiuEtAl2023,Grintzalis,2019,"Grintzalis, K; Lawson, TN; Nasser, F; Lynch, I; Viant, MR",Metabolomic method to detect a metabolite corona on amino-functionalized polystyrene nanoparticles,NANOTOXICOLOGY,10.1080/17435390.2019.1577510,https://doi.org/10.1080/17435390.2019.1577510,no,yes,yes,yes,
7,EG,Kalcikova2020,WoS-Search and PubMed,Kalcikova,2020,"Kalcikova, G; Skalar, T; Marolt, G; Kokalj, AJ",An environmental concentration of aged microplastics with adsorbed silver significantly affects aquatic organisms,WATER RESEARCH,10.1016/j.watres.2020.115644,http://dx.doi.org/10.1016/j.watres.2020.115644,yes,yes,yes,yes,
8,SS,Lin2019,WoS-Search and PubMed,Lin,2019,"Lin, W; Jiang, RF; Hu, SZ; Xiao, XY; Wu, JY; Wei, SB; Xiong, YX; Ouyang, GF",Investigating the toxicities of different functionalized polystyrene nanoplastics on Daphnia magna,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,10.1016/j.ecoenv.2019.05.036,http://dx.doi.org/10.1016/j.ecoenv.2019.05.036,yes,yes (no surface modification),yes,no,no ecocorona
9,MMM,Khosrovyan2022,WoS-Search and PubMed,Khosrovyan,2022,"Khosrovyan, A; Kahru, A",Virgin and UV-weathered polyamide microplastics posed no effect on the survival and reproduction of Daphnia magna,PEERJ,10.7717/peerj.13533,http://dx.doi.org/10.7717/peerj.13533,yes,no,yes,no,no control treatment without DOM
10,MMM,Nasser2016,WoS-Search and PubMed,Nasser,2016,"Nasser, F; Lynch, I",Secreted protein eco-corona mediates uptake and impacts of polystyrene nanoparticles on Daphnia magna,JOURNAL OF PROTEOMICS,10.1016/j.jprot.2015.09.005,http://dx.doi.org/10.1016/j.jprot.2015.09.005,yes,yes,yes,yes,
11,FB,Fadare2020,WoS-Search,Fadare,2020,"Fadare, OO; Wan, B; Liu, KY; Yang, Y; Zhao, LX; Guo, LH",Eco-Corona vs Protein Corona: Effects of Humic Substances on Corona Formation and Nanoplastic Particle Toxicity in Daphnia magna,ENVIRONMENTAL SCIENCE & TECHNOLOGY,10.1021/acs.est.0c00615,http://dx.doi.org/10.1021/acs.est.0c00615,yes,yes,yes,yes,
12,SW,Lin2020,WangEtAl2022 and PubMed,Lin,2020,"Lin, W; Jiang, R; Xiao, X; Wu, J; Wei, S; Liu, Y; Muir, DCG; OUyang, G",Joint effect of nanoplastics and humic acid on the uptake of PAHs for Daphnia magna: A model study,JOURNAL OF HAZARDOUS MATERIALS,10.1016/j.jhazmat.2020.122195,https://doi.org/10.1016/j.jhazmat.2020.122195,no,yes,yes,no,endpoint is PAH accumulation; all treatments contain PAH (polycyclic aromatic hydrocarbon)
13,AR,Lyu2022,WoS-Search and PubMed,Lyu,2022,"Lyu, K; Yu, B; Li, D; Gu, L; Yang, Z",Increased food availability reducing the harmful effects of microplastics strongly depends on the size of microplastics,JOURNAL OF HAZARDOUS MATERIALS,10.1016/j.jhazmat.2022.129375,http://dx.doi.org/10.1016/j.jhazmat.2022.129375,NA,NA,NA,no,"no ecocorona, only microplastic and food"
14,EG,Mattsson2015,WoS-Search,Mattsson,2015,"Mattsson, K; Ekvall, MT; Hansson, LA; Linse, S; Malmendal, A; Cedervall, T","Altered Behavior, Physiology, and Metabolism in Fish Exposed to Polystyrene Nanoparticles",ENVIRONMENTAL SCIENCE & TECHNOLOGY,10.1021/es5053655,http://dx.doi.org/10.1021/es5053655,NA,NA,NA,no,"endpoints for fish, no endpoints for Daphnia"
15,EG,Mondellini2022,WoS-Search and PubMed,Mondellini,2022,"Mondellini, S; Schott, M; Loder, MGJ; Agarwal, S; Greiner, A; Laforsch, C",Beyond microplastics: Water soluble synthetic polymers exert sublethal adverse effects in the freshwater cladoceran Daphnia magna,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2022.157608,http://dx.doi.org/10.1016/j.scitotenv.2022.157608,yes,yes,no,no,"water soluble synthetic polymers (WSSP), not MNP, no ecocorona"
16,FB,Kim2022,WoS-Search,Kim,2022,"Kim, TK; Jang, M; Hwang, YS",Adsorption of benzalkonium chlorides onto polyethylene microplastics: Mechanism and toxicity evaluation,JOURNAL OF HAZARDOUS MATERIALS,10.1016/j.jhazmat.2021.128076,http://dx.doi.org/10.1016/j.jhazmat.2021.128076,yes,yes,yes,no,"used BACs in toxicity tests, not DOMs/DOCs as eco-corona "
17,SS,Motiei2021,WoS-Search and PubMed,Motiei,2021,"Motiei, A; Ogonowski, M; Reichelt, S; Gorokhova, E",Ecotoxicological assessment of suspended solids: The importance of biofilm and particle aggregation,ENVIRONMENTAL POLLUTION,10.1016/j.envpol.2021.116888,http://dx.doi.org/10.1016/j.envpol.2021.116888,yes,yes,yes,yes,bacteroplanctum = biofilm; plots is apparently wrong (mortality below 0 ?)
18,EN,Olenick2018,WoS-Search,Olenick,2018,"Olenick, LL; Troiano, JM; Vartanian, A; Melby, ES; Mensch, AC; Zhang, LL; Hong, JW; Mesele, O; Qiu, T; Bozich, J; Lohse, S; Zhang, X; Kuech, TR; Millevolte, A; Gunsolus, I; McGeachy, AC; Dogangun, M; Li, TZ; Hu, DH; Walter, SR; Mohaimani, A; Schmoldt, A; Torelli, MD; Hurley, KR; Dalluge, J; Chong, G; Feng, ZV; Haynes, CL; Hamers, RJ; Pedersen, JA; Cui, Q; Hernandez, R; Klaper, R; Orr, G; Murphy, CJ; Geiger, FM",Lipid Corona Formation from Nanoparticle Interactions with Bilayers,CHEM,10.1016/j.chempr.2018.09.018,http://dx.doi.org/10.1016/j.chempr.2018.09.018,NA,NA,NA,no,formation of ecocorona
19,PK,Pang2013,WoS-Search,Pang,2013,"Pang, L; Liu, JF; Yin, YG; Shen, M",EVALUATING THE SORPTION OF ORGANOPHOSPHATE ESTERS TO DIFFERENT SOURCED HUMIC ACIDS AND ITS EFFECTS ON THE TOXICITY TO DAPHNIA MAGNA,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,10.1002/etc.2360,http://dx.doi.org/10.1002/etc.2360,yes,yes,yes (organophosphate ester with humic acids),no,not MNP
20,PK,Park2014,WoS-Search and PubMed,Park,2014,"Park, S; Woodhall, J; Ma, GB; Veinot, JGC; Cresser, MS; Boxall, ABA",Regulatory ecotoxicity testing of engineered nanoparticles: are the results relevant to the natural environment?,NANOTOXICOLOGY,10.3109/17435390.2013.818173,http://dx.doi.org/10.3109/17435390.2013.818173,No,yes,yes,no,"gold nanoparticles, not MNP"
21,EN,Pochelon2021,WoS-Search,Pochelon,2021,"Pochelon, A; Stoll, S; Slaveykova, VI","Polystyrene Nanoplastic Behavior and Toxicity on Crustacean Daphnia magna: Media Composition, Size, and Surface Charge Effects",ENVIRONMENTS,10.3390/environments8100101,http://dx.doi.org/10.3390/environments8100101,yes,yes,yes,yes,
22,PK,Polhill2022,WoS-Search and PubMed,Polhill,2022,"Polhill, L; de Bruijn, R; Amaral-Zettler, L; Praetorius, A; van Wezel, A",Daphnia magna's Favorite Snack: Biofouled Plastics,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,10.1002/etc.5393,http://dx.doi.org/10.1002/etc.5393,yes,yes,yes,yes,
23,SW,Portugal2021,WoS-Search,Portugal,2021,"Portugal, SGM; Oses, CAB; Thiago, MGR; Branco, CWC",Uptake of Microplastics by a Tropical Freshwater Cladocera Revealed by Polyethylene Terephthalate Fluorescence,WATER AIR AND SOIL POLLUTION,10.1007/s11270-021-05291-0,http://dx.doi.org/10.1007/s11270-021-05291-0,NA,NA,NA,no,not Daphnia
24,MMM,Reichwaldt2013,WoS-Search,Reichwaldt,2013,"Reichwaldt, ES; Song, HH; Ghadouani, A",Effects of the Distribution of a Toxic Microcystis Bloom on the Small Scale Patchiness of Zooplankton,PLOS ONE,10.1371/journal.pone.0066674,http://dx.doi.org/10.1371/journal.pone.0066674,,,,no,not MNP
25,AR,Saavedra2019,WoS-Search and PubMed,Saavedra,2019,"Saavedra, J; Stoll, S; Slaveykova, VI","Influence of nanoplastic surface charge on eco-corona formation, aggregation and toxicity to freshwater zooplankton",ENVIRONMENTAL POLLUTION,10.1016/j.envpol.2019.05.135,http://dx.doi.org/10.1016/j.envpol.2019.05.135,yes,yes,yes,no,only EC50 values
26,MMM,Wu2018,WoS-Search and PubMed,Wu,2018,"Wu, JY; Jiang, RF; Lin, W; Ouyang, GF",Effect of salinity and humic acid on the aggregation and toxicity of polystyrene nanoplastics with different functional groups and charges,ENVIRONMENTAL POLLUTION,10.1016/j.envpol.2018.11.055,http://dx.doi.org/10.1016/j.envpol.2018.11.055,yes,yes,yes,yes,
27,MMM,Zhang2019,WoS-Search and PubMed,Zhang,2019,"Zhang, F; Wang, Z; Wang, S; Fang, H; Wang, DG","Aquatic behavior and toxicity of polystyrene nanoplastic particles with different functional groups: Complex roles of pH, dissolved organic carbon and divalent cations",CHEMOSPHERE,10.1016/j.chemosphere.2019.04.115,http://dx.doi.org/10.1016/j.chemosphere.2019.04.115,yes,yes,yes,yes,
28,MMM,Schuer2021,WoS-Search and PubMed,Schuer,2021,"Schür, C; Weil, C; Baum, M; Wallraff, J; Schreier, M; Oehlmann, J; Wagner, M",Incubation in wastewater reduces multigenerational effects of microplastics in Daphnia magna,ENVIRONMENTAL SCIENCE & TECHNOLOGY,10.1021/acs.est.0c07911,https://dx.doi.org/10.1021/acs.est.0c07911,yes,yes,yes,yes,
29,ALAV,Meng2022,WoS-Search and PubMed,Meng,2022,"Meng, Z; Recoura-Massaquant, R; Chaumot, A; Stoll, S; Liu, W","Acute toxicity of nanoplastics on Daphnia and Gammarus neonates: Effects of surface charge, heteroaggregation, and water properties",SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2022.158763,http://dx.doi.org/10.1016/j.scitotenv.2022.158763,yes,yes,yes,yes,
30,ALAV,Jemec_Kokalj2019,WoS-Search,Jemec_Kokalj,2019,"Kokalj, AJ; Kuehnel, D; Puntar, B; Gotvajn, AZ; Kalcikova, G",An exploratory ecotoxicity study of primary microplastics versus aged in natural waters and wastewaters,ENVIRONMENTAL POLLUTION,10.1016/j.envpol.2019.112980,http://dx.doi.org/10.1016/j.envpol.2019.112980,yes,yes,yes,yes,